문항,내용,해석
Qb,13) The biggest difference between most criminals and other people is that the criminals are stupid enough to get caught.,"13. 범죄자들과 다른 일반 사람들의 가장 큰 차이점은, 범죄자들이 잡힐만큼 멍청하다는 것이다."
Qc,12) Anyone who completely trusts anyone else is asking for trouble.,12. 누군가를 완전히 믿는 사람은 고생을 자처하는 것이다.
Qe,17) P.T. Barnum was wrong when he said that there's a sucker born every minute.,17. P.T. Barnum이 '매 분마다 선천적으로 잘 속는 사람이 태어난다' 라고 말한 것은 틀립니다.
Qf,7) There is no excuse for lying to someone else.,7. 누군가에게 거짓말 하는 것은 변명의 여지가 없다.
Qh,20) Most people forget more easily the death of their parents than the loss of their property.,20. 대부분의 사람들은 그들의 재산을 잃은 것 보다 부모의 죽음을 더 빨리 잊는다.
Qj,5) It is safest to assume that all people have a vicious streak and it will come out when they are given a chance.,"5. 모든 사람에게는 악한 경향이 있고, 기회만 주어진다면 그 성향이 표현된다고 가정하는 것이 가장 안전하다."
Qk,"9) All in all, it is better to be humble and honest than to be important and dishonest.","9. 대체로 겸손하고 정직한 것이, 중요하고 부정직한 것보다 낫다."
Qm,18) It is hard to get ahead without cutting corners here and there.,18. 여기저기를 질러가지 않는다면 앞으로 나아가기 힘들다(=요령이 없다면 앞으로 나아가기 힘들다).
Qo,2) The best way to handle people is to tell them what they want to hear.,2. 사람을 다루는 가장 좋은 방법은 그들이 듣기 원하는 말을 해주는 것이다.
Qq,4) Most people are basically good and kind.,"4. 대부분의 사람들은 기본적으로 선하며, 착하다."
Qr,3) One should take action only when sure it is morally right.,"3. 도덕적으로 올바른 일 일때만, 그 행동을 해야 한다."
Qs,15) It is wise to flatter important people.,"15. 중요한 사람들(자신의 상관, 정부의 요인들 등등)에게 아첨하는 것이 현명하다."
secret,1) Never tell anyone the real reason you did something unless it is useful to do so.,1. 당신이 어떤 일을 한 이유를 필요할 때를 제외하고는 누구에게도 절대 말하지 않는다.
secret,"10) When you ask someone to do something for you, it is best to give the real reasons for wanting it rather than giving reasons which carry more weight.","10. 어떤 일을 해달라고 누군가에게 요청할 때, 내가 그 일을 원하는 실제 이유를 알려주는 것이, 더 중요해보이는 듯한 이유를 알려주는 것보다 가장 좋은 방법이다."
secret,"11) Most people who get ahead in the world lead clean, moral lives.",11. 세상을 앞에서 이끌어가는 사람들은 깨끗하고 도덕적인 삶을 산다.
secret,14) Most people are brave.,14. 대부분의 사람들은 용감하다.
secret,16) It is possible to be good in all respects.,16. 모든 면에서 좋은 것이 가능하다.
secret,19) People suffering from incurable diseases should have the choice of being put painlessly to death.,19. 불치병에 걸린 사람들에게 안락사를 선택할 권리를 갖게 해야 한다.
secret,6) Honesty is the best policy in all cases.,6. 모든 케이스에 있어서 정직이 최선이다.
secret,"8) Generally speaking, people won't work hard unless they're forced to do so.","8. 일반적으로, 사람들을 강제하지 않는 한, 열심히 일하지 않는다."
